,Country Name,Country Code,Year,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),CO2 emissions (metric tons per capita),Individuals using the Internet (% of population),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)"
0,Afghanistan,AFG,2015,28.6,71.5,0.232175631,8.26,0.994575823,57.27106807,53.2
1,Afghanistan,AFG,2016,30.299999,97.7,0.208857196,..,0.956772141,61.05463771,51.3
2,Afghanistan,AFG,2017,32.200001,97.7,0.203327569,..,0.9452268,65.92913406,49.5
3,Afghanistan,AFG,2018,34.099998,98.71562195,0.200151071,..,1.006746292,59.12084823,47.9
4,Afghanistan,AFG,2019,36,97.7,..,..,1.118230603,59.3560197,46.4
5,Albania,ALB,2015,75.900002,99.98,1.759987059,56.9,1.162303864,117.6592183,8.5
6,Albania,ALB,2016,77.599998,99.89,1.714126173,59.6,1.103581009,116.7444442,8.4
7,Albania,ALB,2017,78.800003,99.89,1.948872038,62.4,1.108696386,125.7103519,8.4
8,Albania,ALB,2018,79.699997,100,1.939731563,65.4,1.16126613,94.17699827,8.5
9,Albania,ALB,2019,80.699997,100,..,68.55039112,1.291087114,91.29301538,8.6
10,Algeria,DZA,2015,99.400002,99.18688965,3.674232947,38.2,6.270242856,108.8089403,21.6
11,Algeria,DZA,2016,99.300003,99.40287018,3.535019927,42.94552688,6.384928983,116.0042077,21.3
12,Algeria,DZA,2017,99.300003,99.61513519,3.505747662,47.69105515,5.924383327,110.7672465,20.9
13,Algeria,DZA,2018,99.300003,99.641922,3.591657418,49.03846808,5.467824356,111.6647921,20.4
14,Algeria,DZA,2019,99.300003,99.5,..,57.5,6.021045994,105.510594,20
15,American Samoa,ASM,2015,..,..,..,..,..,..,..
16,American Samoa,ASM,2016,..,..,..,..,..,..,..
17,American Samoa,ASM,2017,..,..,..,..,..,..,..
18,American Samoa,ASM,2018,..,..,..,..,..,..,..
19,American Samoa,ASM,2019,..,..,..,..,..,..,..
20,Andorra,AND,2015,100,100,6.026181837,..,..,91.44351438,3.1
21,Andorra,AND,2016,100,100,6.080600298,..,..,98.49282637,2.9
22,Andorra,AND,2017,100,100,6.104133927,91.56746703,..,104.3324113,2.8
23,Andorra,AND,2018,100,100,5.97340536,..,..,107.2825494,2.6
24,Andorra,AND,2019,100,100,..,..,..,113.9573773,2.5
25,Angola,AGO,2015,47.299999,42,1.260920989,29,3.105426293,49.79322295,57.7
26,Angola,AGO,2016,47.799999,41.79737854,1.227702942,29,2.733340655,45.07629005,55.5
27,Angola,AGO,2017,48.400002,43.0016098,1.0343173,32,2.507985456,44.68610714,53.5
28,Angola,AGO,2018,49,45.29,0.887380364,35,1.871775866,43.13051888,51.7
29,Angola,AGO,2019,49.599998,45.67031479,..,36,1.643740283,46.59863797,49.9
30,Antigua and Barbuda,ATG,2015,100,100,5.236665206,70,..,188.1025159,6.5
31,Antigua and Barbuda,ATG,2016,100,100,5.289885738,73,..,190.4217843,6.2
32,Antigua and Barbuda,ATG,2017,100,100,5.239717055,..,..,192.819567,6
33,Antigua and Barbuda,ATG,2018,100,99.99972534,5.504663385,..,..,..,5.8
34,Antigua and Barbuda,ATG,2019,100,100,..,..,..,..,5.6
35,Arab World,ARB,2015,86.51420967,87.93547895,4.617963545,41.53871012,7.511171432,105.7348817,28.69596462
36,Arab World,ARB,2016,86.68827989,88.50426125,4.57030837,42.91423104,6.212326254,103.1907993,28.08376594
37,Arab World,ARB,2017,86.89814035,89.62342671,4.528350612,52.04162801,6.480670922,101.0307466,27.29272157
38,Arab World,ARB,2018,87.00715185,88.30632443,4.438715965,..,6.0395461,99.48647313,26.82549778
39,Arab World,ARB,2019,87.15343363,89.51228232,..,62.96720841,5.362210469,104.7418883,26.33280639
40,Argentina,ARG,2015,99.699997,99.81168365,4.314433522,68.04306411,0.850128583,143.566834,10.2
41,Argentina,ARG,2016,99.800003,99.95601654,4.227539442,70.96898082,0.813140078,146.4538276,9.7
42,Argentina,ARG,2017,99.800003,100,4.089471516,74.29490687,0.856137916,140.8771235,9.2
43,Argentina,ARG,2018,99.800003,100,3.987234198,..,0.745498855,132.0931513,8.6
44,Argentina,ARG,2019,99.800003,100,..,..,0.706186671,125.842106,8.1
45,Armenia,ARM,2015,97.800003,100,1.825292192,59.10083377,4.239225786,118.4217138,12.6
46,Armenia,ARM,2016,98,99.8,1.726752782,64.34602977,4.090349217,116.9754675,12
47,Armenia,ARM,2017,98,99.7,1.806581049,64.74488433,3.849730577,118.4642306,11.3
48,Armenia,ARM,2018,98.099998,99.9,1.880246268,68.24505226,4.119886153,121.259018,10.8
49,Armenia,ARM,2019,98.099998,100,..,66.54394969,4.768968354,122.3487531,10.2
50,Aruba,ABW,2015,..,100,..,88.66122693,..,135.13384,..
51,Aruba,ABW,2016,..,100,..,93.54245387,..,..,..
52,Aruba,ABW,2017,..,100,..,97.17,..,..,..
53,Aruba,ABW,2018,..,100,..,..,..,..,..
54,Aruba,ABW,2019,..,100,..,..,..,..,..
55,Australia,AUS,2015,100,100,15.7864494,84.56051491,1.951027863,107.6778349,3.3
56,Australia,AUS,2016,100,100,15.87207954,86.54,2.083689225,109.4312952,3.2
57,Australia,AUS,2017,100,100,15.7386474,86.54504885,1.997577266,108.4417819,3.2
58,Australia,AUS,2018,100,100,15.47551649,..,1.890622246,111.012255,3.2
59,Australia,AUS,2019,100,100,..,..,1.879743267,109.2520084,3.2
60,Austria,AUT,2015,100,100,7.306745266,83.94014193,0.698138152,155.2154711,3
61,Austria,AUT,2016,100,100,7.255626516,84.32374257,0.729737692,126.6614696,3
62,Austria,AUT,2017,100,100,7.482751479,87.93558659,0.757321291,123.1192958,2.9
63,Austria,AUT,2018,100,100,7.146637625,87.47913723,0.744858294,123.5352681,2.9
64,Austria,AUT,2019,100,100,..,87.75220479,0.72740941,119.7752968,2.9
65,Azerbaijan,AZE,2015,96,100,3.333906429,77,5.464876793,111.1650782,23.3
66,Azerbaijan,AZE,2016,96.199997,100,3.347061821,78.2,3.688527303,104.6523726,21.8
67,Azerbaijan,AZE,2017,96.400002,100,3.244356904,79,3.756301732,102.8610548,20.3
68,Azerbaijan,AZE,2018,96.699997,100,3.221402183,79.79999549,3.562401234,103.9214187,19.2
69,Azerbaijan,AZE,2019,96.699997,100,..,81.09999907,3.873411703,106.9924534,18.2
70,"Bahamas, The",BHS,2015,100,100,6.333511491,78,..,83.15606912,12
71,"Bahamas, The",BHS,2016,100,100,5.794831222,80,..,95.30865504,11.7
72,"Bahamas, The",BHS,2017,100,100,5.631972841,85,..,92.60913413,11.4
73,"Bahamas, The",BHS,2018,100,100,5.86046391,..,..,100.7960854,11.2
74,"Bahamas, The",BHS,2019,100,100,..,..,..,109.2494647,14.5
75,Bahrain,BHR,2015,100,100,22.30559688,93.4783008,4.632877365,183.6245336,6.5
76,Bahrain,BHR,2016,100,100,21.18119531,97.9999807,4.671440867,210.0492218,6.4
77,Bahrain,BHR,2017,100,100,20.33362404,95.87813575,4.33877531,158.2568089,6.3
78,Bahrain,BHR,2018,100,100,19.59297584,98.64467258,4.07429483,133.3409369,6.1
79,Bahrain,BHR,2019,100,100,..,99.70149256,4.055054417,115.7929212,5.9
80,Bangladesh,BGD,2015,17.9,74.44007874,0.458797539,8.3,1.350969947,84.07708629,31
81,Bangladesh,BGD,2016,19.1,75.92,0.466776363,9.2,1.372321482,86.07690632,29.6
82,Bangladesh,BGD,2017,20.5,88,0.492906613,10.3,1.240256126,94.5264735,28.2
83,Bangladesh,BGD,2018,21.799999,91.8,0.512837314,11.5,1.263999785,100.2447125,26.8
84,Bangladesh,BGD,2019,23,92.2,..,12.9,1.348906693,101.5491558,25.5
85,Barbados,BRB,2015,100,100,4.52112839,76.11,..,117.337483,13
86,Barbados,BRB,2016,100,100,4.583656989,79.54939789,..,116.2395555,12.7
87,Barbados,BRB,2017,100,100,4.192447306,81.76077839,..,115.1391179,12.4
88,Barbados,BRB,2018,100,100,4.360870779,..,..,114.8914496,12.1
89,Barbados,BRB,2019,100,100,..,..,..,114.7377406,11.7
90,Belarus,BLR,2015,98.900002,100,5.801665688,62.23036091,1.257482359,121.2815762,3.1
91,Belarus,BLR,2016,98.900002,100,5.83037177,71.11304576,1.253515045,121.112623,2.9
92,Belarus,BLR,2017,99,100,5.945667132,74.43644541,1.146289015,120.7921902,2.7
93,Belarus,BLR,2018,99,100,6.283647736,79.12988669,1.182261729,122.925228,2.5
94,Belarus,BLR,2019,98.900002,100,..,82.78915209,1.226168363,123.0082886,2.4
95,Belgium,BEL,2015,100,100,8.444061111,85.05294175,0.909284202,113.1658212,3.3
96,Belgium,BEL,2016,100,100,8.323756718,86.51647666,0.894706236,110.5368746,3.3
97,Belgium,BEL,2017,100,100,8.155491115,87.67968082,0.883680595,99.45303522,3.3
98,Belgium,BEL,2018,100,100,8.179711061,88.647343,0.890644486,99.69668646,3.4
99,Belgium,BEL,2019,100,100,..,90.27542981,0.89304295,99.7421427,3.4
100,Belize,BLZ,2015,83.199997,91.8,1.828629691,41.59,1.143856161,58.72170181,13.2
101,Belize,BLZ,2016,83,93.21820831,1.764391326,44.57574032,1.223192232,60.51248643,12.5
102,Belize,BLZ,2017,82.900002,94.18984222,1.729758499,47.0826258,1.255364915,63.72026431,11.8
103,Belize,BLZ,2018,83,91.72,1.775127848,..,1.294665671,64.29904639,11.1
104,Belize,BLZ,2019,82.400002,92.72,..,..,1.331671046,65.30473699,10.6
105,Benin,BEN,2015,4.3000002,29.62,0.566378737,11.25498791,0.798484705,88.1051181,63.2
106,Benin,BEN,2016,4.3000002,37.08368683,0.665006634,11.99,0.673596727,81.7921125,61.9
107,Benin,BEN,2017,4.1999998,34.5,0.65860166,13.3,0.920613124,78.50459562,60.6
108,Benin,BEN,2018,4.0999999,39.23860168,0.688722324,26,0.63285754,82.38429039,59.3
109,Benin,BEN,2019,4,40.31874084,..,29,0.472934841,87.70201313,57.9
110,Bermuda,BMU,2015,..,100,..,98.32360965,..,59.66212397,..
111,Bermuda,BMU,2016,..,100,..,98,..,100.8348853,..
112,Bermuda,BMU,2017,..,100,..,98.37,..,103.0896604,..
113,Bermuda,BMU,2018,..,100,..,..,..,..,..
114,Bermuda,BMU,2019,..,100,..,..,..,..,..
115,Bhutan,BTN,2015,74,95.44389343,1.31888966,39.8,..,92.83820321,27.4
116,Bhutan,BTN,2016,75.800003,99.50035858,1.669594112,41.77264453,..,94.79644581,26.5
117,Bhutan,BTN,2017,76.400002,97.7,1.783886808,..,..,97.99614519,25.6
118,Bhutan,BTN,2018,78,99.96877289,1.829277992,..,..,93.26155771,24.7
119,Bhutan,BTN,2019,79.099998,100,..,..,..,95.5637066,23.9
120,Bolivia,BOL,2015,82.699997,91.522822,1.877691189,37.49,1.743839017,93.49660939,25.4
121,Bolivia,BOL,2016,83.5,91.8,1.958878597,39.6975146,1.627932972,91.60973889,24.3
122,Bolivia,BOL,2017,84.300003,91.8,1.987875656,43.83227607,1.536277694,97.94841441,23.2
123,Bolivia,BOL,2018,84.900002,92.8,2.000327663,44.2861422,1.536596285,100.8164084,22.3
124,Bolivia,BOL,2019,85.5,96.30310059,..,47.47481911,1.463637574,101.5263482,21.5
125,Bosnia and Herzegovina,BIH,2015,44.400002,99.7,5.718264797,52.6,1.000613746,100.4128758,5.4
126,Bosnia and Herzegovina,BIH,2016,44.700001,100,6.597243038,60.25653543,0.933900815,100.5249735,5.3
127,Bosnia and Herzegovina,BIH,2017,44.900002,100,6.758099426,64.89202051,0.864182658,102.6423792,5.3
128,Bosnia and Herzegovina,BIH,2018,45.099998,100,6.781131607,70.12013504,0.852548557,104.1256346,5.2
129,Bosnia and Herzegovina,BIH,2019,46.299999,100,..,69.94634763,0.8200662,113.7691912,5.1
130,Botswana,BWA,2015,54.599998,62.13,3.399795164,37.31205037,2.660266574,163.8751723,39.6
131,Botswana,BWA,2016,54.400002,64.29515076,3.296410755,39.36299738,3.28777595,152.2730166,39.3
132,Botswana,BWA,2017,54,67.4,3.569037983,41.41379464,3.005878803,146.9601556,38.2
133,Botswana,BWA,2018,53.900002,68.35865784,3.64230522,58,2.676088923,150.0055899,37.6
134,Botswana,BWA,2019,52.799999,70.18318176,..,61,2.812261003,162.6411807,36.9
135,Brazil,BRA,2015,95.5,99.710902,2.347365731,58.32795173,1.365517154,126.0879559,14.2
136,Brazil,BRA,2016,95.599998,99.7,2.143497524,60.87254007,1.347975413,118.3855945,15
137,Brazil,BRA,2017,95.599998,99.8,2.164421504,67.47128452,1.414485611,106.4644877,13.8
138,Brazil,BRA,2018,95.800003,99.7,2.041874199,70.43428254,1.494203353,99.9717023,13.6
139,Brazil,BRA,2019,95.900002,99.8,..,73.91244005,1.407988516,95.71649455,13.3
140,British Virgin Islands,VGB,2015,..,100,..,..,..,196.1958013,..
141,British Virgin Islands,VGB,2016,..,100,..,77.70142968,..,135.2035428,..
142,British Virgin Islands,VGB,2017,..,100,..,77.70426829,..,148.9096257,..
143,British Virgin Islands,VGB,2018,..,100,..,..,..,134.0648279,..
144,British Virgin Islands,VGB,2019,..,100,..,..,..,131.6483516,..
145,Brunei Darussalam,BRN,2015,100,100,14.41262527,71.2,3.279290461,111.6838231,8.8
146,Brunei Darussalam,BRN,2016,100,100,15.26950316,90,3.539384699,124.6910434,9
147,Brunei Darussalam,BRN,2017,100,100,15.80753909,94.86669164,2.865169907,128.3313662,9.2
148,Brunei Darussalam,BRN,2018,100,100,16.64490862,95,2.636612485,131.9342228,9.4
149,Brunei Darussalam,BRN,2019,100,100,..,95,3.078642143,132.6607198,9.6
150,Bulgaria,BGR,2015,88.42,100,6.225976043,56.65625161,1.248848117,127.70783,6.9
151,Bulgaria,BGR,2016,88.65,100,5.855926256,59.82554766,1.246707289,125.4743844,6.5
152,Bulgaria,BGR,2017,..,100,6.223901903,63.41010138,1.226243678,120.1404474,6.1
153,Bulgaria,BGR,2018,..,100,5.854773434,64.78201069,1.451568367,118.9396801,5.8
154,Bulgaria,BGR,2019,..,100,..,67.94698094,3.148475544,116.2063245,5.5
155,Burkina Faso,BFA,2015,8.1000004,16.07070351,0.187735194,7,1.419815231,79.77028842,59.6
156,Burkina Faso,BFA,2016,8.6000004,16.6396122,0.187704296,9,1.375362376,82.61152567,58.2
157,Burkina Faso,BFA,2017,9.3000002,17.21655655,0.212053871,12,1.556273179,93.50365342,56.7
158,Burkina Faso,BFA,2018,9.6999998,14.4,0.216186485,14,2.165041746,97.91227142,55.4
159,Burkina Faso,BFA,2019,10.2,18.3791523,..,18,2.606037509,100.2122395,54.1
160,Burundi,BDI,2015,0.2,8.403089523,0.040354196,2.1,2.201862734,49.18977601,46.2
161,Burundi,BDI,2016,0.2,9.251799583,0.043859641,2.4,2.115625208,51.08522649,44.4
162,Burundi,BDI,2017,0.2,9.3,0.052646114,2.660748535,1.870652158,54.68367609,42.7
163,Burundi,BDI,2018,0.2,10.59861469,0.05279463,5,1.882161447,56.53470747,41.3
164,Burundi,BDI,2019,0.2,11.0647974,..,5.2,2.497152014,56.64970019,39.9
165,Cabo Verde,CPV,2015,74.900002,87.13669586,0.952852841,42.68301416,0.558982326,116.527138,16.7
166,Cabo Verde,CPV,2016,75.599998,89.22769928,1.035508529,50.32281787,0.61182693,113.331551,15.5
167,Cabo Verde,CPV,2017,76.599998,91.32674408,1.097676461,57.16214635,0.53085719,113.909075,14.5
168,Cabo Verde,CPV,2018,77.099998,93.42980957,1.140200528,59.5,0.542008419,112.2407207,13.6
169,Cabo Verde,CPV,2019,78,95.53353882,..,61.94339776,0.488213087,108.3184376,12.8
170,Cambodia,KHM,2015,19.299999,68.84770203,0.55278394,18,1.801622621,134.3338529,27.3
171,Cambodia,KHM,2016,21.700001,76.62667847,0.627921978,32.39845171,1.90988363,126.3169742,26
172,Cambodia,KHM,2017,24.4,89.07,0.710207176,32.90027854,2.071383501,116.0128584,24.9
173,Cambodia,KHM,2018,27.4,91.83401489,0.686777895,65.00000218,2.224852375,119.4915172,23.8
174,Cambodia,KHM,2019,31.200001,93,..,78.27288351,2.228561325,129.9161522,22.9
175,Cameroon,CMR,2015,21.9,58.55207825,0.343800787,18.3,1.144433296,77.94823655,57
176,Cameroon,CMR,2016,22,59.76893234,0.357343635,20.6,1.187536437,78.22900593,55.2
177,Cameroon,CMR,2017,22.200001,60.99382401,0.338678511,23.20297197,1.173793483,81.96421137,53.2
178,Cameroon,CMR,2018,22.200001,62.2,0.341842908,29.7,1.11159531,73.19019901,51.3
179,Cameroon,CMR,2019,21.9,63.45231247,..,33.5,1.086759173,82.70374759,49.9
180,Canada,CAN,2015,100,100,15.65138616,90,1.152709374,82.61933463,4.7
181,Canada,CAN,2016,100,100,15.24474718,91.16,1.164161567,84.5231216,4.6
182,Canada,CAN,2017,100,100,15.38529105,92.70137191,1.351602232,86.28149306,4.6
183,Canada,CAN,2018,100,100,15.49702527,94.64,1.324681094,89.57894095,4.5
184,Canada,CAN,2019,100,100,..,96.5,1.27894142,91.86310664,4.4
185,Caribbean small states,CSS,2015,89.12865089,95.69537023,5.462326768,50.81894504,..,112.9667476,16.34724219
186,Caribbean small states,CSS,2016,89.27201309,96.73233833,5.032062547,53.47842647,..,116.6999501,15.87550598
187,Caribbean small states,CSS,2017,89.24917151,97.34094736,4.876310944,59.61657015,..,112.4449536,15.41861902
188,Caribbean small states,CSS,2018,89.13398218,97.73551587,5.017034408,..,..,110.973817,14.96289049
189,Caribbean small states,CSS,2019,88.96593091,98.28050491,..,..,..,116.5815945,14.7001176
190,Cayman Islands,CYM,2015,..,100,..,77,..,151.0660359,..
191,Cayman Islands,CYM,2016,..,100,..,79,..,152.8808196,..
192,Cayman Islands,CYM,2017,..,100,..,81.06769325,..,152.4975545,..
193,Cayman Islands,CYM,2018,..,100,..,..,..,..,..
194,Cayman Islands,CYM,2019,..,100,..,..,..,..,..
195,Central African Republic,CAF,2015,0.5,12.74572849,0.06899359,3.8,1.686089014,27.65294881,87.9
196,Central African Republic,CAF,2016,0.5,13.49867058,0.068316804,4,1.528332632,27.51062987,85.6
197,Central African Republic,CAF,2017,0.5,14.16905403,0.067449619,..,1.435967607,25.57404521,83.8
198,Central African Republic,CAF,2018,0.5,14.6539526,0.070718706,..,1.43304054,27.41449024,81.6
199,Central African Republic,CAF,2019,0.5,14.3,..,..,1.915529229,33.61921611,79.1
200,Central Europe and the Baltics,CEB,2015,99.19501416,100,6.249982689,67.35117029,1.534309211,126.8606124,4.835833913
201,Central Europe and the Baltics,CEB,2016,99.2145119,99.8278347,6.372489936,71.34198079,1.48038007,125.8114519,4.604803763
202,Central Europe and the Baltics,CEB,2017,100,100,6.625943967,73.40956731,1.517283427,123.0079993,4.397392104
203,Central Europe and the Baltics,CEB,2018,100,100,6.597232486,75.98213727,1.643985243,121.5817237,4.213125998
204,Central Europe and the Baltics,CEB,2019,100,100,..,78.72948708,1.755485336,122.7660611,4.052811301
205,Chad,TCD,2015,3,7.7,0.06874084,3.5,2.018821854,38.73436811,75.7
206,Chad,TCD,2016,3.0999999,9.240955353,0.070046969,5,3.068475119,38.35901264,74.1
207,Chad,TCD,2017,3.3,10.9,0.067924102,6.49999812,2.238589247,42.40996705,72.4
208,Chad,TCD,2018,3.5,10.12151718,0.069131598,8,2.339468546,45.12373876,70.7
209,Chad,TCD,2019,3.8,8.4,..,9.8,2.187152986,48.06483101,69
210,Channel Islands,CHI,2015,..,100,..,..,..,..,..
211,Channel Islands,CHI,2016,..,100,..,..,..,..,..
212,Channel Islands,CHI,2017,..,100,..,..,..,..,..
213,Channel Islands,CHI,2018,..,100,..,..,..,..,..
214,Channel Islands,CHI,2019,..,100,..,..,..,..,..
215,Chile,CHL,2015,100,99.714844,4.561654853,76.62959195,1.898487266,129.1440655,6.7
216,Chile,CHL,2016,100,100,4.73170736,83.55858602,1.91538872,127.972519,6.5
217,Chile,CHL,2017,100,99.7,4.712395783,82.32748693,1.9358293,124.5944777,6.4
218,Chile,CHL,2018,100,100,4.624872245,..,1.859638618,134.4373213,6.2
219,Chile,CHL,2019,100,100,..,..,1.837381841,132.1845598,6
220,China,CHN,2015,59.900002,100,7.124222747,50.3,1.750717767,91.835388,8.3
221,China,CHN,2016,61.299999,100,7.071898486,53.2,1.770695719,96.52661691,7.6
222,China,CHN,2017,62.299999,100,7.174947984,54.3,1.74645507,103.4384208,7
223,China,CHN,2018,63.700001,100,7.352262682,59.2,1.739533683,115.5258122,6.4
224,China,CHN,2019,64.400002,100,..,64.56912253,1.727827863,121.7922911,5.9
225,Colombia,COL,2015,91,98.186898,1.705152834,55.90497251,3.109960084,120.636922,13.4
226,Colombia,COL,2016,91.900002,98.4,1.738659399,58.13649357,3.071131026,121.8160055,12.9
227,Colombia,COL,2017,92.699997,98.5,1.555106166,62.25988032,3.209062437,127.2136962,12.5
228,Colombia,COL,2018,93.800003,98.5,1.600650618,64.12637682,3.062105511,129.9086097,12.1
229,Colombia,COL,2019,94.300003,99.7662735,..,65.00690072,3.140733964,131.6724442,11.7
230,Comoros,COM,2015,5.5999999,74.37182617,0.23153061,7.459161386,..,54.64019634,54.4
231,Comoros,COM,2016,6,76.78272247,0.251383552,7.938322771,..,57.11331939,53
232,Comoros,COM,2017,6.5999999,79.20166016,0.307166816,8.478170295,..,57.6137866,51.5
233,Comoros,COM,2018,7,81.6246109,0.312379103,..,..,59.94110452,50.1
234,Comoros,COM,2019,7.5,84.04824066,..,..,..,67.60224049,48.7
235,"Congo, Dem. Rep.",COD,2015,4.1999998,16.43629265,0.037904358,3.799999507,1.295639749,49.51538827,73
236,"Congo, Dem. Rep.",COD,2016,4.1999998,17.20158195,0.026145739,6.20997406,1.066108209,36.66662914,71.1
237,"Congo, Dem. Rep.",COD,2017,4.3000002,18.0063858,0.028010253,8.619904916,0.770467136,43.45919307,69.1
238,"Congo, Dem. Rep.",COD,2018,4.3000002,18.75225258,0.026169263,11.7,0.623912515,43.38221502,67.3
239,"Congo, Dem. Rep.",COD,2019,4.5,19.1,..,12.5,0.708059013,42.77332121,65.5
240,"Congo, Rep.",COG,2015,25.5,44.18732071,0.70838841,7.615974662,..,107.4114077,37.6
241,"Congo, Rep.",COG,2016,27.4,45.1781311,0.672556252,8.121949323,6.44878239,108.8938839,36.6
242,"Congo, Rep.",COG,2017,29.5,46.12187958,0.630050555,8.65,4.209375353,98.92979331,35.6
243,"Congo, Rep.",COG,2018,31.700001,47.22546768,0.613992586,..,2.50811728,95.34053637,34.7
244,"Congo, Rep.",COG,2019,33.5,48.32972336,..,..,2.748296599,..,35.9
245,Costa Rica,CRI,2015,94.300003,99.409804,1.555343088,59.76295014,0,155.4435575,7.7
246,Costa Rica,CRI,2016,94.699997,99.5,1.649203076,65.88044919,0,170.0362804,7.6
247,Costa Rica,CRI,2017,95,99.6,1.652540276,71.58166462,0,178.5944273,7.5
248,Costa Rica,CRI,2018,95.300003,99.7,1.652184053,73.47972844,0,169.9306983,7.4
249,Costa Rica,CRI,2019,95.5,99.71,..,81.20259644,0,169.3935546,7.2
250,Cote d'Ivoire,CIV,2015,23.4,62.6,0.411605058,38.44000017,1.719446027,109.3922913,65.7
251,Cote d'Ivoire,CIV,2016,25,64.3,0.39122307,41.20781493,1.707463673,115.2314132,64.4
252,Cote d'Ivoire,CIV,2017,26.700001,65.6,0.424757468,43.83992085,1.329599894,129.9121104,62.9
253,Cote d'Ivoire,CIV,2018,28.799999,67.17237091,0.395305384,37.54653613,1.413435448,134.8579514,61.3
254,Cote d'Ivoire,CIV,2019,30.299999,68.55010986,..,36.28895457,1.227480729,145.340692,59.4
255,Croatia,HRV,2015,100,100,3.968023629,69.84503592,1.783240088,104.3182481,4.2
256,Croatia,HRV,2016,100,100,4.058117805,72.69726967,1.621882181,104.888678,4.1
257,Croatia,HRV,2017,100,100,4.238057612,67.09619204,1.665301436,103.1730226,4.1
258,Croatia,HRV,2018,100,100,4.055928762,75.29462599,1.574563806,105.5834549,4
259,Croatia,HRV,2019,100,100,..,79.07978368,1.648867463,106.6423198,3.9
260,Cuba,CUB,2015,79.04,98.67454529,2.427420867,37.30509742,3.083791445,29.45174834,4.5
261,Cuba,CUB,2016,79.44,98.95259857,2.509901097,42.97867519,3.072187925,35.18185629,4.4
262,Cuba,CUB,2017,..,99.23869324,2.262053371,57.14840432,2.872403239,40.68858498,4.3
263,Cuba,CUB,2018,..,99.52880096,2.202300094,62.67892362,2.876207372,47.39153727,4.3
264,Cuba,CUB,2019,..,99.8,..,67.97080866,..,53.31661061,4.2
265,Curacao,CUW,2015,..,100,..,..,..,119.1695809,..
266,Curacao,CUW,2016,..,100,..,61.85551074,..,115.8905198,..
267,Curacao,CUW,2017,..,100,..,68.12721625,..,115.5478188,..
268,Curacao,CUW,2018,..,100,..,..,..,114.5239383,..
269,Curacao,CUW,2019,..,100,..,..,..,112.7349716,..
270,Cyprus,CYP,2015,100,100,5.839858672,71.71574092,1.653213363,130.9823176,2.4
271,Cyprus,CYP,2016,100,100,6.110124091,75.9002054,1.410825734,132.6368741,2.4
272,Cyprus,CYP,2017,100,100,6.188092584,80.74318897,1.583111306,136.1722981,2.3
273,Cyprus,CYP,2018,100,100,6.079400502,84.43358252,1.780485709,137.0450965,2.3
274,Cyprus,CYP,2019,100,100,..,86.06362996,1.609466806,139.994482,2.3
